date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:51:17	12025/12025	---MC-	200	added ('OK')	text/html	date:Tue,%2029%20Nov%202016%2006:51:17%20GMT	https://spqr.eecs.umich.edu/publications.php	spqr.eecs.umich.edu/publications.html	(from )
01:51:17	311/311	---M--	302	error ('Found')	text/html	date:Tue,%2029%20Nov%202016%2006:51:17%20GMT	https://spqr.eecs.umich.edu/robots.txt		(from )
01:51:18	5281/5281	---M--	200	added ('OK')	text/html	date:Tue,%2029%20Nov%202016%2006:51:18%20GMT	https://spqr.eecs.umich.edu/	spqr.eecs.umich.edu/index.html	(from https://spqr.eecs.umich.edu/publications.php)
01:51:18	2169/2169	---M--	200	added ('OK')	image/png	etag:%225880979-879-4e1cf5907b5c0%22	https://spqr.eecs.umich.edu/images/spqr-favicon.png	spqr.eecs.umich.edu/images/spqr-favicon.png	(from https://spqr.eecs.umich.edu/publications.php)
01:51:18	126718/126718	---M--	200	added ('OK')	text/css	etag:%225d808bb-1eefe-4f85d5e9f7c80%22	https://spqr.eecs.umich.edu/dist/css/bootstrap.css	spqr.eecs.umich.edu/dist/css/bootstrap.css	(from https://spqr.eecs.umich.edu/publications.php)
01:51:19	134648/134648	---M--	200	added ('OK')	text/css	etag:%225d80957-20df8-4f94795db15c0%22	https://spqr.eecs.umich.edu/styles/bootstrap-spqr.css	spqr.eecs.umich.edu/styles/bootstrap-spqr.css	(from https://spqr.eecs.umich.edu/publications.php)
01:51:19	7521/7521	---M--	200	added ('OK')	text/javascript	etag:%225880986-1d61-4f8fad337bb00%22	https://spqr.eecs.umich.edu/simile-ajax-api.js?bundle=false	spqr.eecs.umich.edu/simile-ajax-api097f.js	(from https://spqr.eecs.umich.edu/publications.php)
01:51:20	9493/9493	---M--	200	added ('OK')	text/javascript	etag:%2258809e0-2515-4f8fad337bb00%22	https://spqr.eecs.umich.edu/exhibit-api.js?bundle=false	spqr.eecs.umich.edu/exhibit-api097f.js	(from https://spqr.eecs.umich.edu/publications.php)
01:51:20	130054/130054	---M--	200	added ('OK')	text/javascript	etag:%22588005c-1fc06-5383d1c07ff80%22	https://spqr.eecs.umich.edu/spqrbib.js	spqr.eecs.umich.edu/spqrbib.js	(from https://spqr.eecs.umich.edu/publications.php)
01:51:20	255/255	---M--	200	added ('OK')	text/javascript	etag:%22588098b-ff-4f8fad337bb00%22	https://spqr.eecs.umich.edu/spqr-bibschema.js	spqr.eecs.umich.edu/spqr-bibschema.js	(from https://spqr.eecs.umich.edu/publications.php)
01:51:21	1603/1603	---M--	200	added ('OK')	text/css	etag:%225880985-643-4f85d47bc1c80%22	https://spqr.eecs.umich.edu/style/spqr-pubs.css	spqr.eecs.umich.edu/style/spqr-pubs.css	(from https://spqr.eecs.umich.edu/publications.php)
01:51:21	1001/1001	---M--	200	added ('OK')	text/javascript	etag:%225880071-3e9-4f8fad337bb00%22	https://spqr.eecs.umich.edu/spqr.js	spqr.eecs.umich.edu/spqr.js	(from https://spqr.eecs.umich.edu/publications.php)
01:51:22	5281/5281	---M--	200	added ('OK')	text/html	date:Tue,%2029%20Nov%202016%2006:51:22%20GMT	https://spqr.eecs.umich.edu/index.php	spqr.eecs.umich.edu/index-2.html	(from https://spqr.eecs.umich.edu/publications.php)
01:51:22	17833/17833	---M--	200	added ('OK')	image/jpeg	etag:%2258809e5-45a9-4f85d6d1b5f40%22	https://spqr.eecs.umich.edu/images/SPQR-logo.jpg	spqr.eecs.umich.edu/images/SPQR-logo.jpg	(from https://spqr.eecs.umich.edu/publications.php)
01:51:23	27947/27947	---MC-	200	added ('OK')	text/html	date:Tue,%2029%20Nov%202016%2006:51:23%20GMT	https://spqr.eecs.umich.edu/people.php	spqr.eecs.umich.edu/people.html	(from https://spqr.eecs.umich.edu/publications.php)
01:51:23	6712/6712	---M--	200	added ('OK')	text/html	date:Tue,%2029%20Nov%202016%2006:51:23%20GMT	https://spqr.eecs.umich.edu/projects.php	spqr.eecs.umich.edu/projects.html	(from https://spqr.eecs.umich.edu/publications.php)
01:51:24	23248/23248	---MC-	200	added ('OK')	text/html	date:Tue,%2029%20Nov%202016%2006:51:24%20GMT	https://spqr.eecs.umich.edu/news.php	spqr.eecs.umich.edu/news.html	(from https://spqr.eecs.umich.edu/publications.php)
01:51:24	7981/7981	---M--	200	added ('OK')	text/html	date:Tue,%2029%20Nov%202016%2006:51:24%20GMT	https://spqr.eecs.umich.edu/seminars.php	spqr.eecs.umich.edu/seminars.html	(from https://spqr.eecs.umich.edu/publications.php)
01:51:24	4525/4525	---M--	200	added ('OK')	text/html	date:Tue,%2029%20Nov%202016%2006:51:24%20GMT	https://spqr.eecs.umich.edu/jobs.php	spqr.eecs.umich.edu/jobs.html	(from https://spqr.eecs.umich.edu/publications.php)
01:51:25	46624/46624	---MC-	200	added ('OK')	text/html	date:Tue,%2029%20Nov%202016%2006:51:25%20GMT	https://spqr.eecs.umich.edu/publications-flat.php	spqr.eecs.umich.edu/publications-flat.html	(from https://spqr.eecs.umich.edu/publications.php)
01:51:26	90257/90257	---M--	200	added ('OK')	text/html	date:Tue,%2029%20Nov%202016%2006:51:25%20GMT	https://spqr.eecs.umich.edu/spqrbib_bib.html	spqr.eecs.umich.edu/spqrbib_bib.html	(from https://spqr.eecs.umich.edu/publications.php)
01:51:26	27881/27881	---M--	200	added ('OK')	text/javascript	etag:%225d808c2-6ce9-4f85d5e9f7c80%22	https://spqr.eecs.umich.edu/dist/js/bootstrap.min.js	spqr.eecs.umich.edu/dist/js/bootstrap.min.js	(from https://spqr.eecs.umich.edu/publications.php)
